timestamp,event,client_id,algorithm,rtt_ms,offset_ms,server_time,client_time
2026-03-24T15:33:37.536611,TIME_SERVED,client-2,cristian,0,0,1774366417.532606,0
2026-03-24T15:33:37.816258,TIME_SERVED,client-3,cristian,0,0,1774366417.811127,0
2026-03-24T15:33:38.011317,TIME_SERVED,client-4,cristian,0,0,1774366418.009454,0
2026-03-24T15:33:42.172860,TIME_SERVED,client-0,cristian,0,0,1774366422.171253,0
2026-03-24T15:33:42.453029,TIME_SERVED,client-1,cristian,0,0,1774366422.451593,0
2026-03-24T15:33:42.557702,TIME_SERVED,client-2,cristian,0,0,1774366422.556142,0
2026-03-24T15:33:42.818646,TIME_SERVED,client-3,cristian,0,0,1774366422.816729,0
2026-03-24T15:33:43.019898,TIME_SERVED,client-4,cristian,0,0,1774366423.015935,0
2026-03-24T15:33:47.210450,TIME_SERVED,client-0,cristian,0,0,1774366427.208148,0
2026-03-24T15:33:47.480088,TIME_SERVED,client-1,cristian,0,0,1774366427.477939,0
2026-03-24T15:33:47.560674,TIME_SERVED,client-2,cristian,0,0,1774366427.559615,0
2026-03-24T15:33:47.824900,TIME_SERVED,client-3,cristian,0,0,1774366427.821744,0
2026-03-24T15:33:48.025303,TIME_SERVED,client-4,cristian,0,0,1774366428.022328,0
2026-03-24T15:33:52.219692,TIME_SERVED,client-0,cristian,0,0,1774366432.212863,0
2026-03-24T15:33:52.487490,TIME_SERVED,client-1,cristian,0,0,1774366432.48568,0
2026-03-24T15:33:52.569073,TIME_SERVED,client-2,cristian,0,0,1774366432.566791,0
2026-03-24T15:33:52.828457,TIME_SERVED,client-3,cristian,0,0,1774366432.826068,0
2026-03-24T15:33:53.040048,TIME_SERVED,client-4,cristian,0,0,1774366433.03828,0
2026-03-24T15:33:57.242589,TIME_SERVED,client-0,cristian,0,0,1774366437.240742,0
2026-03-24T15:33:57.506994,TIME_SERVED,client-1,cristian,0,0,1774366437.505768,0
2026-03-24T15:33:57.572109,TIME_SERVED,client-2,cristian,0,0,1774366437.570156,0
2026-03-24T15:33:57.836179,TIME_SERVED,client-3,cristian,0,0,1774366437.832296,0
2026-03-24T15:33:58.064360,TIME_SERVED,client-4,cristian,0,0,1774366438.061961,0
2026-03-24T15:34:02.257707,TIME_SERVED,client-0,cristian,0,0,1774366442.256015,0
2026-03-24T15:34:02.511970,TIME_SERVED,client-1,cristian,0,0,1774366442.509321,0
2026-03-24T15:34:02.576105,TIME_SERVED,client-2,cristian,0,0,1774366442.573777,0
2026-03-24T15:34:02.837880,TIME_SERVED,client-3,cristian,0,0,1774366442.836299,0
2026-03-24T15:34:03.066754,TIME_SERVED,client-4,cristian,0,0,1774366443.065347,0
2026-03-24T15:34:07.262487,TIME_SERVED,client-0,cristian,0,0,1774366447.259672,0
2026-03-24T15:34:07.516119,TIME_SERVED,client-1,cristian,0,0,1774366447.514093,0
2026-03-24T15:34:07.597654,TIME_SERVED,client-2,cristian,0,0,1774366447.594839,0
2026-03-24T15:34:07.861308,TIME_SERVED,client-3,cristian,0,0,1774366447.85866,0
